Hotel Name,Price,Star,Rating
Union Hotel Brooklyn,"₹53,645",3,5.7
Pendry Manhattan West,"₹3,41,302",5,9.7
Edge Hotel Washington Heights,"₹76,742",3,8.3
5th & 55th Residence Club,"₹4,15,784",2,8.7
Comfort Inn Near Financial District,"₹76,899",2,7.9
Sonder Henri on 24,"₹1,52,307",4,8.3
Towneplace Suites New York Brooklyn,"₹1,37,837",3,8.7
Crosby Street Hotel,"₹4,40,597",5,9.8
The Whitby Hotel,"₹5,18,449",5,9.3
Westgate New York Grand Central,"₹73,092",4,8.3
The Kimberly Hotel,"₹6,35,710",4,9.2
The Grand Nyc Apartments,"₹70,308",2,5.3
Holiday Inn Manhattan Downtown SoHo,"₹1,97,871",3,7.2
The Flat Nyc,"₹75,864",3,8.5
Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,"₹1,35,122",3,8.7
Hampton Inn Manhattan-Times Square North,"₹1,82,942",3,8.5
6 Columbus - Central Park Hotel,"₹1,17,033",3,7.6
KAMA CENTRAL PARK,"₹24,372",1,7.8
OYO Times Square,"₹1,22,957",4,7.1
Hotel Beekman Tower,"₹1,53,908",4,7.6
Hotel Barrière Fouquet's New York,"₹2,62,684",5,9.2
Hudson Yard Hk,"₹1,10,931",2,6.3
Hotel Comfort Inn Sunset Park Park Slope,"₹70,888",2,7.2
The Wallace Hotel,"₹1,91,537",3,9.5
Quality Inn Midtown West/Convention Center,"₹1,14,142",2,7.0
Washington Square Hotel,"₹1,33,265",4,8.5
The Wall Street Hotel New York City,"₹1,63,290",5,9.6
"Le Méridien New York, Fifth Avenue","₹2,04,292",4,8.0
City Rooms NYC,"₹89,094",1,4.4
Hotel Chelsea Savoy,"₹85,936",2,8.6
Cabana Hotel Yankee Stadium,"₹42,505",3,5.3
Lowell Hotel,"₹7,07,793",5,9.4
LUMA Hotel - Times Square,"₹1,80,611",4,9.4
Astoria Inn LaGuardia Hotel,"₹69,823",3,7.4
Feather Factory Hotel,"₹85,882",3,8.2
Chrystie Street Apartments,"₹86,430",2,6.1
Upper East Side Luxury 3BR 2B,"₹3,00,099",4,10
The Avenue Plaza,"₹73,829",3,7.9
"Kimpton Hotel Eventi, an IHG Hotel","₹2,34,602",5,8.8
The Residences by Hilton Club,"₹2,14,728",4,7.8
"Home2 Suites Newark-Airport, Nj","₹49,613",3,7.5
